"","SurveyID","SiteCode","SiteLatitude","SiteLongitude","Country","SiteName","Location","Depth","SurveyDate","algae","cca","coral","not_used","sand","turf","total","flat","Storage_kg","Accretion_kgyr","GPP_ghr","Calc_ghr","BranchSpace_cm3","OrgGrowth_gyr","BiomassStand_g","Rugosity"
"1",1003278,"USEC4",24.62529,-81.11185,"United States","Sombrero Light W FL","Florida Keys",5,"12/10/2010",7,11,7,48,3,24,100,93,10.1659240326428,2.55937872394675,1.79736556696465,0.252618181787604,0,2889.88703246586,596.187695549477,1.92258064516129
"2",1003281,"USEC8",24.69262,-81.060967,"United States","Vaca Key Bight FL","Florida Keys",3,"16/10/2010",61,4,3,11,17,4,100,97,1.7943550984412,2.17213397281987,22.2550599739738,0.273193395425082,0,18660.1790115118,3577.19359704552,1.82926829268293
"3",1003282,"USEC9",24.70784,-81.04805,"United States","Vaca Key Bight S FL","Florida Keys",7,"16/10/2010",10,3,7,13,23,44,100,93,7.86788031241926,1.48973199252182,1.84171882183296,0.135398788973367,0,4531.88580896581,589.401855417723,1.376
"4",1003283,"USEC10",24.68577,-80.96287,"United States","Coffins Patch E FL","Florida Keys",6,"17/10/2010",27,10,10,40,1,12,100,90,13.7357393775905,1.6574338642535,9.68447621453885,0.107629373327022,0,8933.59399060245,1747.38595998862,2.05454545454545
"5",1003284,"USEC11",24.68553,-80.9645,"United States","Coffins Patch W FL","Florida Keys",4.1,"17/10/2010",19,5,12,30,10,24,100,88,18.0039495158113,2.31376456523873,6.43476157740477,0.183006210150816,0,5761.23522652115,1329.2022937,1.97777777777778
"6",1003285,"USEC12",24.54062,-81.41568,"United States","Looe Reef Deep FL","Florida Keys",19,"18/10/2010",20,4,11,29,14,22,100,89,11.9106515729224,1.29835367952025,4.36524534033686,0.0781511914764542,0,7369.50296708302,895.454920672318,1.6
"7",1003286,"USEC13",24.54569,-81.40591,"United States","Looe Reef West FL","Florida Keys",5.1,"18/10/2010",4,4,10,24,0,58,100,90,9.55681097519118,1.21669143370461,2.53054704727855,0.0704903738916761,0,1174.80897955174,923.961490693836,1.76170212765957
"8",1003287,"USEC14",24.546777,-81.405235,"United States","Looe Reef Marker Post FL","Florida Keys",5.1,"18/10/2010",6,5,4,36,9,40,100,96,2.09864613206841,1.55847202192487,1.34640997661378,0.192791001838912,0,2827.85322177554,464.386450136049,1.41463414634146
"9",1003288,"USEC15",24.68217,-80.97067,"United States","Pillar Patch FL","Florida Keys",4.6,"19/10/2010",18,3,5,33,8,32,99,94,2.58574592591847,0.393599314865448,3.86962722065491,0.0263280053284452,0,7102.35698351763,870.003247359971,1.54146341463415
"10",1003289,"USEC16",24.68975,-81.02973,"United States","Vaca Key Bight East FL","Florida Keys",4.1,"19/10/2010",39,17,5,19,0,20,100,95,4.84129904707553,3.70281023494231,9.70934163976896,0.649889562723893,0,15168.1065268231,1780.74778601095,1.47931034482759
